case number,Who was the member adjudicating the decision?,What was the location of the landlord tenant board?,Did the decision state the landlord was represented?,Did the decision state the landlord attended the hearing?,Did the decision state the tenant was represented?,Did the decision state the tenant attended the hearing?,Did the decision state the landlord was a not-for-profit landlord (e.g. Toronto Community Housing)?,Did the decision state the tenant was collecting a subsidy?,What was the outcome of the case?,What was the length of the tenancy,What was the monthly rent?,rental deposit amount,was there an rent increases,What was the total amount of arrears?,Over how many months did the arrears accumulate?,Does the tenant made a payment on the arrears after the eviction notice,"Did the decision mention a history of arrears by the tenant separate from the arrears in the current claim (more than one period of arrears, recurrently coming in and out of arrears, arrears with previous landlord, etc.)?","Did the member find the tenant had or seemed to have the ability to pay rent, but chose not do so?","What were the specific mental, medical, or physical conditions of the tenant, if any?",Did the decision state that the tenant had children living with them?,Was the tenant employed at the time of the hearing?,"If the tenant was not employed, did the decision state the tenant was receiving any form of government assistance (e.g. OW, childcare benefits, ODSP, OSAP)?","If the tenant was employed, did the decision state any doubts about the stability of employment e.g. lack of guaranteed hours, contract work, etc.?",Did the member find the tenant had sufficient income to pay rent?,Did the decision mention the tenant lost their job leading up to or during the period of the hearing?,"Did the decision mention any other extenuating circumstances experienced by the tenant leading up to or during the period of the claim (e.g. hospitalization, death in the family, etc.)?","Did the decision mention the tenant’s difficulty finding alternative housing for any reason e.g.physical limitations, reliance on social assistance, etc.?",Did the decision state the tenant was given prior notice for the eviction?,Did the decisions state postponement would result in the tenant accruing additional arrears?,Did the decision mention the validity of an N4 eviction notice?,Payment Plan,L1 present?,L2 present?,L3 present?,L4 present?,L8 present?,L9 present?,N5 present?,N6 present?,N7 present?,N8 present?,T1 present?,T2 present?,T3 present?,T5 present?,T6 present?
CEL-87788-19,sonia anwar-ali,Toronto,1,0,0,0,0,0,Relief,88.0,1398.79,1365.9816966067865,0,5240.342916006339,6.306049004594181,0,1,0,1,1,1,-1,-1,1,0,1,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
CEL-90549-19,shelby whittick,Mississauga,1,1,0,1,0,0,No relief,6.306049004594181,2100.0,2100.0,0,10500.0,7.0,0,0,0,1,1,-1,1,0,0,0,0,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEL-94478-18,ruth carey,Toronto,1,1,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,1476.53,0,974.59,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEL-94493-18,ruth carey,Toronto,1,1,0,1,0,0,Relief,74.0,1595.9445741324917,1089.32,0,1094.17,3.0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEL-72994-18,avril cardoso,Mississauga,1,0,1,0,0,0,No relief,23.0,1595.9445741324917,1365.9816966067865,0,5550.0,3.0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEL-73021-18,avril cardoso,Mississauga,1,0,0,0,0,0,No relief,45.0,1850.0,1850.0,0,27750.0,15.0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CEL-73052-18,avril cardoso,Mississauga,1,0,0,1,0,0,No relief,3.0,1800.0,1800.0,0,3136.51,2.0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
CEL-73107-18-RV,karen wallace,Mississauga,1,1,0,1,0,1,Relief,7.0,1500.0,1500.0,0,2500.0,3.0,0,0,0,0,0,0,1,-1,0,0,0,0,1,1,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CEL-73197-18,tiisetso russell,Mississauga,0,1,0,1,0,0,No relief,3.0,1595.9445741324917,1000.0,0,3000.0,3.0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
CEL-73575-18,avril cardoso,Mississauga,1,1,0,0,0,0,No relief,14.0,1595.9445741324917,1650.0,0,6985.73,6.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
